angulo,timestamp,posicao_correlacao_maxima
0,2026-07-09T10:02:43.190,10
0,2026-07-09T10:02:44.082,3
0,2026-07-09T10:02:44.962,0
0,2026-07-09T10:02:45.819,10
0,2026-07-09T10:02:46.801,2
0,2026-07-09T10:02:47.706,0
0,2026-07-09T10:02:48.929,3
0,2026-07-09T10:02:49.813,3
0,2026-07-09T10:02:51.031,0
0,2026-07-09T10:02:51.931,0
0,2026-07-09T10:02:52.822,9
0,2026-07-09T10:02:53.704,4
0,2026-07-09T10:02:54.907,3
0,2026-07-09T10:02:55.768,0
0,2026-07-09T10:02:56.650,0
0,2026-07-09T10:02:57.838,0
0,2026-07-09T10:02:58.759,3
0,2026-07-09T10:02:59.987,174
0,2026-07-09T10:03:00.881,4
0,2026-07-09T10:03:01.747,3
0,2026-07-09T10:03:03.005,0
0,2026-07-09T10:03:03.865,0
0,2026-07-09T10:03:04.811,0
0,2026-07-09T10:03:06.045,0
0,2026-07-09T10:03:06.962,0
0,2026-07-09T10:03:07.861,0
0,2026-07-09T10:03:08.738,0
0,2026-07-09T10:03:09.979,4
0,2026-07-09T10:03:11.150,0
0,2026-07-09T10:03:12.025,0
0,2026-07-09T10:03:12.885,0
45,2026-07-09T10:07:38.410,1
45,2026-07-09T10:07:39.643,0
45,2026-07-09T10:07:40.538,1
45,2026-07-09T10:07:41.738,2
45,2026-07-09T10:07:43.067,7
45,2026-07-09T10:07:43.910,0
45,2026-07-09T10:07:44.289,3
45,2026-07-09T10:07:44.632,1
45,2026-07-09T10:07:45.111,1
45,2026-07-09T10:07:45.475,0
45,2026-07-09T10:07:45.806,1
45,2026-07-09T10:07:46.280,9
45,2026-07-09T10:07:46.634,2
45,2026-07-09T10:07:47.014,2
45,2026-07-09T10:07:47.509,247
45,2026-07-09T10:07:47.845,1
45,2026-07-09T10:07:48.195,0
45,2026-07-09T10:07:48.703,8
45,2026-07-09T10:07:49.067,2
45,2026-07-09T10:07:49.540,0
45,2026-07-09T10:07:49.994,2
45,2026-07-09T10:07:50.338,1
45,2026-07-09T10:07:50.648,8
45,2026-07-09T10:07:51.108,1
45,2026-07-09T10:07:51.448,0
45,2026-07-09T10:07:51.784,1
45,2026-07-09T10:07:52.276,2
45,2026-07-09T10:07:52.593,8
45,2026-07-09T10:07:52.905,1
45,2026-07-09T10:07:53.455,1
45,2026-07-09T10:07:53.839,2
45,2026-07-09T10:07:54.208,1
45,2026-07-09T10:07:54.516,0
45,2026-07-09T10:07:54.817,1
